Bias, Current, error
0.00369,0.05876,0.00357
0.00769,0.06497,0.00334
0.01169,0.07122,0.00308
0.01569,0.07762,0.00285
0.01969,0.08397,0.0026
0.02369,0.09042,0.00234
0.0277,0.09629,0.00211
0.0317,0.10282,0.00185
0.03569,0.10832,0.0016
0.0397,0.11495,0.00133
0.0437,0.12086,0.00111
0.0477,0.1273,9.63287E-4
0.0517,0.13361,8.58404E-4
0.0557,0.13992,8.69695E-4
0.0597,0.14641,9.62036E-4
0.0637,0.15253,0.00114
0.0677,0.15879,0.00133
0.0717,0.16514,0.00157
0.0757,0.17189,0.00174
0.0797,0.17837,0.00196
0.0837,0.18504,0.00217
0.0877,0.19173,0.00243
0.0917,0.19829,0.00262
0.0957,0.20511,0.00287
0.0997,0.21119,0.00312
0.1037,0.21836,0.00337
0.1077,0.22498,0.00363
0.1117,0.2318,0.00386
0.1157,0.23832,0.00411
0.1197,0.2453,0.00438
0.1237,0.25198,0.00469
0.1277,0.25853,0.00495
0.1317,0.26549,0.00528
0.1357,0.27236,0.00558
0.1397,0.27909,0.00589
0.1437,0.28622,0.00621
0.1477,0.29344,0.00656
0.1517,0.30055,0.00685
0.1557,0.30765,0.00717
0.1597,0.3149,0.00744
0.1637,0.32195,0.00778
0.1677,0.32916,0.00815
0.1717,0.33643,0.0084
0.1757,0.34411,0.00869
0.1797,0.35167,0.00897
0.1837,0.35929,0.00926
0.1877,0.36699,0.0096
0.1917,0.37492,0.0099
0.1957,0.38266,0.01025
0.1997,0.3907,0.01058
0.2037,0.39891,0.01095
0.2077,0.40757,0.0113
0.2117,0.41559,0.01168
0.2157,0.42384,0.01196
0.2197,0.43224,0.01235
0.2237,0.44011,0.01273
0.2277,0.44847,0.01308
0.2317,0.4568,0.01351
0.2357,0.46528,0.01385
0.2397,0.47374,0.01425
0.2437,0.4827,0.01462
0.2477,0.49217,0.01503
0.2517,0.50141,0.01542
0.2557,0.51057,0.01584
0.2597,0.52023,0.01623
0.2637,0.52849,0.01672
0.2677,0.53808,0.0171
0.2717,0.54726,0.01754
0.2757,0.55694,0.01802
0.2797,0.56706,0.01839
0.2837,0.57687,0.01883
0.2877,0.58716,0.01928
0.2917,0.59753,0.01976
0.2957,0.60795,0.02031
0.2997,0.6185,0.02082
0.3037,0.62929,0.02139
0.3077,0.64039,0.02201
0.3117,0.65163,0.02265
0.3157,0.66305,0.02324
0.3197,0.67441,0.02388
0.3237,0.68577,0.02454
0.3277,0.69747,0.02526
0.3317,0.70923,0.02597
0.3357,0.7207,0.02662
0.3397,0.73196,0.02725
0.3437,0.74356,0.02793
0.3477,0.75567,0.02855
0.3517,0.76791,0.02916
0.3557,0.78023,0.0298
0.3597,0.79235,0.03045
0.3637,0.80477,0.03108
0.3677,0.81751,0.03172
0.3717,0.83006,0.03234
0.3757,0.84351,0.03298
0.3797,0.85738,0.03361
0.3837,0.87053,0.03421
0.3877,0.884,0.03478
0.3917,0.89788,0.03545
0.3957,0.91185,0.03617
0.3997,0.92608,0.03686
0.4037,0.9406,0.03756
0.4077,0.95547,0.03833
0.4117,0.97021,0.03902
0.4157,0.98533,0.03981
0.4197,1.00101,0.04069
0.4237,1.01648,0.04157
0.4277,1.0326,0.04252
0.4317,1.04888,0.04342
0.4357,1.06544,0.04427
0.4397,1.08231,0.04514
0.4437,1.09946,0.04606
0.4477,1.11735,0.04698
0.4517,1.13511,0.04793
0.4557,1.1527,0.04884
0.4597,1.17119,0.0497
0.4637,1.18952,0.05055
0.4677,1.20799,0.05139
0.4717,1.22719,0.05223
0.4757,1.24675,0.05308
0.4797,1.26633,0.05391
0.4837,1.28707,0.05485
0.4877,1.30763,0.05582
0.4917,1.32782,0.05684
0.4957,1.34901,0.05793
0.4997,1.36938,0.05894
0.5037,1.38913,0.05993
0.5077,1.40898,0.0608
0.5117,1.42922,0.06183
0.5157,1.45111,0.06272
0.5197,1.47167,0.06382
0.5237,1.49259,0.06497
0.5277,1.51444,0.06614
0.5317,1.53593,0.06738
0.5357,1.55804,0.06849
0.5397,1.58,0.06942
0.5437,1.60338,0.07035
0.5477,1.62613,0.0713
0.5517,1.64947,0.07229
0.5557,1.67393,0.07342
