Bias,Current,error
0.3797,1.43511,0.075
0.3837,1.46177,0.07673
0.3877,1.48914,0.07838
0.3917,1.51782,0.08052
0.3957,1.54482,0.08229
0.3997,1.57202,0.08426
0.4037,1.60053,0.08644
0.4077,1.63292,0.08934
0.4117,1.66419,0.09179
0.4157,1.69439,0.09382
0.4197,1.72649,0.09605
0.4237,1.75759,0.09833
0.4277,1.7896,0.1007
0.4317,1.82337,0.10314
0.4357,1.85789,0.10577
0.4397,1.89254,0.10838
0.4437,1.92955,0.11138
0.4477,1.96734,0.11444
0.4517,2.0055,0.11778
0.4557,2.0461,0.12195
0.4597,2.08527,0.12586
0.4637,2.12413,0.12951
0.4677,2.16267,0.1331
0.4717,2.2021,0.13661
0.4757,2.24018,0.13977
0.4797,2.27856,0.14292
0.4837,2.32036,0.14647
0.4877,2.36192,0.14964
0.4917,2.4046,0.15276
0.4957,2.44579,0.15561
0.4997,2.48906,0.1588
0.5037,2.53187,0.16218
0.5077,2.57639,0.16554
0.5117,2.62252,0.16903
0.5157,2.66844,0.17241
0.5197,2.71404,0.17536
0.5237,2.75954,0.17796
0.5277,2.8072,0.18115
0.5317,2.85881,0.18455
0.5357,2.91163,0.18825
0.5397,2.96695,0.1925
0.5437,3.02436,0.19677
0.5477,3.07968,0.20117
0.5517,3.1337,0.20557
0.5557,3.18618,0.20969
0.5597,3.24097,0.21388
0.5637,3.29628,0.218
0.5677,3.35083,0.22192
0.5717,3.40344,0.22562
0.5757,3.45756,0.22932
0.5797,3.51588,0.23338
0.5837,3.57663,0.23765
0.5877,3.63475,0.24143
0.5917,3.69236,0.24518
0.5957,3.75251,0.24882
0.5997,3.81506,0.25278
0.6037,3.88042,0.25686
0.6077,3.94538,0.26073
0.6117,4.00651,0.26431
0.6157,4.07103,0.26834
0.6197,4.13811,0.2721
0.6237,4.20525,0.27591
0.6277,4.27325,0.27999
0.6317,4.33857,0.28355
0.6357,4.40444,0.2873
0.6397,4.47133,0.29102
0.6437,4.53693,0.29471
0.6477,4.60161,0.29807
0.6517,4.66637,0.30136
0.6557,4.73278,0.3047
0.6597,4.79562,0.30783
0.6637,4.86012,0.31071
0.6677,4.92343,0.31319
0.6717,4.99158,0.31582
0.6757,5.05589,0.31848
0.6797,5.11629,0.3208
0.6837,5.17466,0.3226
0.6877,5.23184,0.32436
0.6917,5.28966,0.32616
0.6957,5.34905,0.32803
0.6997,5.40786,0.32972
0.7037,5.46686,0.33125
0.7077,5.5269,0.33268
0.7117,5.58496,0.33388
0.7157,5.64358,0.3353
0.7197,5.69741,0.33592
0.7237,5.75248,0.33637
0.7277,5.80502,0.33673
0.7317,5.85855,0.33703
0.7357,5.91098,0.33733
0.7397,5.96356,0.33766
0.7437,6.01349,0.33765
0.7477,6.05993,0.33717
0.7517,6.10689,0.33633
